@relation 'marketing-18204307-weka.filters.unsupervised.attribute.Remove-R1,4-6,14,17'

@attribute job {education,tech,entrepreneur,retail,management,retired,self-employed,services,student,construction,unemployed,unknown}
@attribute status {divorced,married,single}
@attribute housing_loan {no,yes}
@attribute personal_loan {no,yes}
@attribute contact {email,phone,unknown}
@attribute contact_day numeric
@attribute contact_month {apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep}
@attribute contact_duration numeric
@attribute num_contacts numeric
@attribute num_last numeric
@attribute last_outcome {failure,other,success,unknown}

@data
construction,married,yes,yes,email,16,jul,435,1,0,unknown
construction,single,no,no,email,3,feb,39,1,0,unknown
management,single,no,no,email,29,jun,421,2,0,unknown
construction,single,no,no,email,8,aug,70,2,0,unknown
services,single,yes,no,unknown,28,may,543,2,0,unknown
tech,married,yes,no,email,3,feb,439,3,0,unknown
construction,married,yes,no,unknown,19,may,144,2,0,unknown
construction,single,no,no,email,22,apr,319,1,1,success
construction,divorced,no,no,email,7,aug,134,2,0,unknown
management,married,no,no,email,20,aug,94,4,0,unknown
management,married,yes,yes,email,21,nov,436,2,3,other
construction,married,no,no,email,28,aug,14,3,0,unknown
retail,married,no,no,email,14,aug,518,2,0,unknown
tech,married,no,no,email,10,jul,128,6,0,unknown
unemployed,married,yes,no,email,3,feb,237,3,0,unknown
management,married,no,no,email,21,nov,663,4,0,unknown
construction,married,yes,yes,unknown,2,jun,70,1,0,unknown
construction,married,no,no,email,4,may,218,1,0,unknown
construction,married,no,no,email,2,feb,781,1,0,unknown
self-employed,married,yes,no,email,15,may,64,6,0,unknown
construction,single,no,no,email,8,aug,809,2,0,unknown
construction,divorced,no,no,email,6,may,488,1,0,unknown
management,married,yes,no,email,11,may,94,4,0,unknown
retired,married,no,no,email,28,jan,216,1,4,success
retired,married,yes,no,email,15,jun,382,2,0,unknown
construction,married,no,yes,email,13,aug,112,2,0,unknown
self-employed,divorced,yes,no,email,13,oct,216,1,4,success
construction,divorced,no,no,email,13,nov,167,1,1,success
retired,married,yes,no,email,3,feb,84,3,2,failure
retired,married,no,no,phone,17,apr,394,2,0,unknown
management,married,no,no,email,4,sep,328,2,2,success
services,single,yes,no,unknown,4,jun,172,2,0,unknown
management,single,yes,yes,email,29,jul,102,3,0,unknown
retired,married,no,no,phone,15,apr,185,1,2,success
management,married,no,no,email,13,aug,325,2,0,unknown
tech,married,yes,yes,unknown,12,jun,122,1,0,unknown
management,divorced,yes,no,email,5,jun,103,2,1,other
retired,single,yes,yes,unknown,26,may,314,1,0,unknown
construction,single,no,no,email,15,jul,252,1,3,success
tech,married,no,no,email,6,feb,129,4,3,other
construction,divorced,yes,yes,unknown,27,may,62,2,0,unknown
tech,married,yes,no,unknown,3,jun,233,1,0,unknown
tech,married,yes,no,email,20,apr,121,1,0,unknown
education,divorced,no,no,unknown,11,jun,140,1,0,unknown
management,married,yes,no,unknown,23,may,55,4,0,unknown
management,married,yes,no,email,21,nov,316,3,9,other
construction,single,yes,no,unknown,12,jun,93,8,0,unknown
education,divorced,yes,no,email,15,may,241,1,1,failure
construction,married,yes,no,email,9,nov,524,1,5,success
management,divorced,yes,no,phone,29,oct,171,1,0,unknown
self-employed,single,no,no,email,19,jun,474,3,3,other
tech,married,yes,no,unknown,7,may,110,2,0,unknown
management,married,yes,no,email,5,may,159,2,2,failure
services,married,yes,yes,unknown,26,may,82,2,0,unknown
student,single,no,no,email,15,feb,659,4,0,unknown
management,married,no,no,email,30,jul,814,2,0,unknown
management,married,yes,no,email,5,feb,139,1,0,unknown
management,married,yes,yes,email,19,nov,107,2,0,unknown
retired,divorced,no,no,unknown,13,may,618,1,0,unknown
services,single,no,yes,unknown,24,aug,5,1,0,unknown
management,single,yes,no,email,11,sep,100,2,0,unknown
student,married,no,no,unknown,18,jun,114,1,0,unknown
unemployed,single,no,no,email,6,feb,39,2,0,unknown
education,married,yes,no,email,31,jul,56,4,0,unknown
entrepreneur,married,yes,no,email,16,jul,574,1,0,unknown
construction,single,no,no,email,30,apr,260,1,0,unknown
management,single,no,no,email,22,aug,182,1,0,unknown
management,married,no,no,unknown,16,jun,301,6,0,unknown
education,divorced,no,yes,email,21,nov,808,2,0,unknown
self-employed,married,no,no,unknown,6,jun,554,1,0,unknown
retail,married,no,no,email,21,nov,609,2,0,unknown
tech,divorced,no,no,email,15,may,44,1,0,unknown
management,married,yes,no,unknown,2,jun,526,2,0,unknown
services,single,yes,no,unknown,3,jun,1259,6,0,unknown
education,married,yes,no,unknown,13,nov,231,1,0,unknown
retired,divorced,no,no,email,12,aug,417,1,9,other
management,married,no,no,unknown,12,jun,36,3,0,unknown
management,single,no,no,email,14,apr,142,1,0,unknown
tech,married,yes,yes,email,9,jul,134,4,0,unknown
construction,single,yes,no,unknown,30,may,891,4,0,unknown
tech,married,no,no,email,19,aug,195,2,0,unknown
tech,married,yes,no,email,29,jan,244,3,0,unknown
management,single,yes,no,email,23,feb,228,2,6,failure
student,married,yes,no,email,21,jul,857,4,0,unknown
tech,divorced,no,no,email,15,jun,177,1,0,unknown
tech,married,yes,no,phone,31,jul,1088,17,0,unknown
student,single,no,no,email,27,oct,184,1,2,failure
construction,married,yes,no,email,18,nov,291,2,0,unknown
tech,married,no,no,phone,2,feb,59,3,2,other
tech,single,yes,no,email,1,sep,199,1,14,success
tech,married,yes,no,email,14,may,73,1,0,unknown
management,married,yes,no,email,31,jul,30,29,0,unknown
management,single,no,no,email,26,aug,1223,6,0,unknown
education,single,no,no,email,20,nov,48,2,0,unknown
construction,married,no,no,email,15,jun,415,1,1,success
education,married,yes,no,email,30,jul,62,12,0,unknown
retail,single,no,no,unknown,12,jun,993,6,0,unknown
retired,married,no,no,email,27,aug,104,5,0,unknown
entrepreneur,divorced,yes,yes,email,20,apr,74,4,0,unknown
management,married,yes,no,email,3,aug,654,2,0,unknown
self-employed,married,yes,no,email,11,aug,206,1,1,failure
management,single,yes,no,email,6,may,17,3,2,failure
management,single,no,no,unknown,26,may,111,1,0,unknown
tech,single,yes,no,email,15,may,133,4,0,unknown
tech,married,yes,no,unknown,23,may,331,6,0,unknown
retired,single,no,no,email,8,may,239,1,2,failure
education,married,yes,no,email,27,apr,124,1,0,unknown
education,married,yes,no,email,17,apr,279,1,0,unknown
management,married,yes,no,email,6,may,105,4,2,failure
retired,divorced,yes,no,email,29,jan,188,1,2,failure
construction,married,no,no,email,8,aug,420,4,0,unknown
education,divorced,yes,no,email,16,jul,652,1,0,unknown
management,married,yes,no,unknown,29,may,645,2,0,unknown
tech,married,yes,no,unknown,29,may,660,2,0,unknown
management,married,yes,yes,unknown,1,jun,8,1,2,failure
education,married,yes,no,unknown,15,may,391,3,0,unknown
tech,married,yes,yes,unknown,27,may,157,2,0,unknown
tech,divorced,no,no,unknown,5,jun,1018,3,0,unknown
self-employed,divorced,no,yes,unknown,20,jun,269,1,0,unknown
management,single,no,no,email,23,jun,205,3,0,unknown
services,married,no,no,email,22,aug,618,1,0,unknown
unemployed,single,no,no,email,3,feb,65,2,0,unknown
tech,married,yes,no,unknown,23,may,248,4,0,unknown
management,married,yes,no,email,22,jul,712,6,0,unknown
construction,married,no,yes,email,23,jul,442,2,0,unknown
management,married,yes,no,unknown,29,may,413,2,0,unknown
tech,married,no,no,email,22,aug,528,2,0,unknown
construction,single,yes,no,email,12,may,13,5,0,unknown
education,married,yes,no,phone,19,nov,377,3,4,success
tech,single,yes,no,email,7,jul,113,4,0,unknown
self-employed,married,yes,no,email,23,jul,1309,4,0,unknown
tech,single,yes,no,unknown,20,jun,27,25,0,unknown
management,married,yes,no,email,17,nov,984,1,0,unknown
management,single,no,no,email,15,jun,129,1,0,unknown
management,single,yes,no,email,17,apr,245,1,2,failure
management,single,no,no,email,28,aug,207,8,1,failure
services,married,yes,no,email,18,jul,91,2,0,unknown
management,married,yes,no,unknown,6,jun,94,7,0,unknown
education,married,no,no,email,26,may,500,2,0,unknown
tech,married,no,no,unknown,20,sep,9,1,0,unknown
retired,divorced,no,yes,phone,17,jul,27,1,0,unknown
education,single,yes,no,email,4,feb,1579,1,4,failure
construction,married,no,yes,email,29,aug,156,2,0,unknown
management,married,no,yes,email,19,nov,37,1,0,unknown
management,married,no,no,email,13,aug,657,7,0,unknown
tech,married,yes,no,email,5,may,200,3,0,unknown
unemployed,single,no,no,email,28,jan,1451,2,0,unknown
education,married,no,no,unknown,4,may,1467,1,0,unknown
management,single,yes,no,email,15,may,415,4,1,failure
management,single,yes,no,email,2,feb,97,3,0,unknown
construction,married,no,no,unknown,9,jun,225,2,0,unknown
construction,married,yes,no,email,14,may,141,1,2,other
retired,married,yes,no,unknown,29,may,57,2,0,unknown
management,married,no,no,email,24,dec,237,1,2,failure
construction,married,yes,no,email,19,aug,299,2,0,unknown
retired,married,yes,no,email,7,may,304,3,0,unknown
education,married,no,yes,email,14,may,225,1,1,failure
tech,single,yes,no,unknown,16,may,767,2,0,unknown
management,married,no,no,email,22,sep,569,1,0,unknown
education,single,no,no,email,30,apr,457,1,1,success
tech,single,yes,no,email,20,nov,766,3,0,unknown
construction,single,yes,yes,email,14,oct,104,1,19,failure
management,married,no,no,email,14,jul,109,8,0,unknown
management,divorced,no,no,email,29,jan,24,3,0,unknown
construction,married,yes,no,unknown,9,may,165,1,0,unknown
services,married,yes,no,email,11,may,50,1,0,unknown
education,single,yes,no,email,18,may,16,6,1,other
management,single,no,no,email,5,feb,550,4,0,unknown
unknown,single,no,no,email,27,feb,30,3,0,unknown
construction,divorced,no,no,email,22,aug,77,2,0,unknown
construction,single,yes,no,email,18,may,442,1,8,failure
construction,divorced,yes,yes,unknown,26,may,434,4,0,unknown
management,married,no,yes,email,15,jul,88,3,0,unknown
management,married,no,no,unknown,19,jun,39,2,0,unknown
education,married,yes,yes,email,16,oct,95,1,0,unknown
management,single,yes,no,email,7,aug,90,3,0,unknown
tech,single,no,no,email,14,jul,203,1,2,failure
services,married,yes,no,unknown,26,may,99,1,0,unknown
construction,single,no,no,email,30,apr,278,1,0,unknown
management,single,no,no,email,27,oct,418,2,0,unknown
tech,married,yes,no,email,11,may,238,2,5,failure
construction,single,no,no,email,25,aug,121,3,0,unknown
management,married,no,no,email,10,mar,106,1,0,unknown
services,divorced,no,no,email,13,nov,495,1,1,success
management,single,yes,yes,unknown,16,may,122,2,0,unknown
management,married,yes,no,email,14,apr,342,1,0,unknown
self-employed,married,yes,no,email,18,nov,48,1,3,failure
tech,married,no,yes,phone,14,jul,252,4,0,unknown
management,single,no,no,email,23,oct,56,4,0,unknown
education,married,yes,yes,email,6,may,653,1,2,success
services,married,yes,no,unknown,20,jun,13,10,0,unknown
construction,married,no,no,unknown,9,jun,65,6,0,unknown
tech,single,yes,no,email,7,jul,273,5,0,unknown
retired,married,no,no,email,24,apr,384,2,0,unknown
management,married,yes,no,unknown,13,may,227,4,0,unknown
student,single,no,no,email,28,sep,294,2,7,other
management,married,yes,no,unknown,29,may,57,3,0,unknown
management,single,no,no,email,30,jul,185,4,0,unknown
services,married,yes,no,unknown,9,may,20,1,0,unknown
tech,single,yes,yes,email,31,jul,14,6,0,unknown
management,single,no,no,email,28,jul,383,6,0,unknown
construction,married,no,no,email,29,aug,150,2,0,unknown
management,single,yes,no,unknown,5,jun,590,3,0,unknown
management,single,yes,no,email,25,jul,40,1,0,unknown
unknown,married,no,no,email,28,aug,173,2,0,unknown
services,single,yes,no,unknown,23,may,78,10,0,unknown
construction,single,no,no,unknown,1,jul,650,2,0,unknown
services,single,yes,no,phone,20,nov,55,2,0,unknown
tech,married,yes,no,unknown,17,jun,775,3,0,unknown
management,married,yes,no,email,19,nov,1014,1,2,other
construction,single,yes,no,unknown,20,jun,18,9,0,unknown
construction,single,no,yes,email,17,nov,386,2,0,unknown
tech,single,yes,no,email,17,jul,1275,1,0,unknown
entrepreneur,single,yes,no,email,18,jul,799,2,0,unknown
entrepreneur,married,no,no,email,4,may,429,4,2,failure
retired,divorced,no,no,email,29,jan,144,1,1,other
tech,married,yes,no,unknown,15,may,1263,2,0,unknown
retired,married,no,no,phone,4,may,421,1,2,success
tech,single,no,yes,email,10,jul,1097,3,0,unknown
entrepreneur,married,no,yes,email,21,jul,180,4,0,unknown
self-employed,single,no,no,email,7,sep,310,2,2,other
construction,married,yes,no,email,10,jul,114,1,0,unknown
construction,married,no,no,email,18,nov,578,2,0,unknown
construction,married,yes,yes,email,26,jul,105,2,1,failure
services,single,no,no,email,15,apr,171,1,0,unknown
services,married,no,yes,email,21,nov,152,2,0,unknown
services,divorced,yes,no,unknown,15,may,62,1,0,unknown
self-employed,married,no,no,email,4,may,119,2,0,unknown
management,divorced,no,no,unknown,18,jun,74,1,0,unknown
retired,divorced,yes,no,email,23,jul,255,1,0,unknown
entrepreneur,married,no,no,phone,4,aug,250,2,2,success
management,single,yes,no,email,26,aug,958,6,0,unknown
tech,married,yes,no,unknown,14,may,87,1,0,unknown
management,married,no,no,email,11,aug,386,4,0,unknown
tech,married,yes,no,unknown,13,may,118,1,0,unknown
retail,married,yes,no,unknown,19,jun,15,10,0,unknown
management,single,yes,no,email,17,mar,325,2,0,unknown
management,married,no,no,email,12,aug,474,2,0,unknown
tech,divorced,yes,no,unknown,15,may,755,1,0,unknown
retired,married,no,no,phone,7,jul,876,1,0,unknown
education,married,yes,yes,unknown,21,oct,187,1,0,unknown
student,single,no,no,email,19,aug,338,1,0,unknown
tech,married,yes,yes,unknown,23,may,29,3,0,unknown
retail,divorced,no,no,email,27,oct,255,3,1,success
education,married,yes,no,email,20,nov,219,7,1,failure
tech,married,yes,no,email,17,apr,264,1,1,failure
management,single,yes,no,email,14,may,107,4,3,failure
management,single,no,no,unknown,29,may,187,3,0,unknown
tech,married,yes,no,unknown,15,may,468,2,0,unknown
tech,married,yes,no,email,15,may,66,2,0,unknown
services,divorced,yes,no,email,22,jul,527,1,0,unknown
management,divorced,no,yes,email,29,aug,728,2,0,unknown
retired,married,no,no,email,16,feb,93,5,0,unknown
self-employed,married,yes,no,email,11,may,49,1,0,unknown
services,single,yes,no,email,18,may,391,1,0,unknown
construction,divorced,yes,yes,email,13,may,698,2,1,failure
entrepreneur,married,no,yes,email,21,nov,160,3,3,failure
tech,married,no,no,unknown,5,jun,761,2,0,unknown
retail,divorced,yes,no,email,19,aug,109,3,0,unknown
tech,married,yes,no,unknown,19,may,191,4,0,unknown
construction,married,no,no,email,19,aug,209,2,0,unknown
management,married,no,no,phone,6,aug,245,3,0,unknown
education,married,no,no,email,1,jun,324,3,2,success
construction,married,yes,yes,email,29,jan,72,1,1,failure
management,married,yes,no,phone,25,jul,279,4,0,unknown
construction,married,yes,no,email,11,aug,149,1,5,failure
tech,married,yes,no,email,28,jul,151,3,0,unknown
tech,married,no,no,email,12,may,121,1,0,unknown
services,married,no,no,email,24,aug,206,4,0,unknown
tech,single,yes,no,unknown,20,jun,1663,1,0,unknown
construction,married,no,no,email,25,nov,232,1,4,success
management,single,no,no,email,7,aug,86,2,0,unknown
management,married,no,yes,phone,25,jul,697,1,0,unknown
unemployed,married,no,no,email,9,sep,404,1,1,success
management,married,yes,no,email,18,jul,1139,2,0,unknown
education,divorced,no,no,email,13,feb,121,1,0,unknown
education,single,yes,yes,email,6,may,172,4,0,unknown
retired,married,no,no,email,6,oct,215,1,0,unknown
self-employed,single,no,no,email,12,jan,409,2,0,unknown
retired,divorced,yes,no,email,30,jul,354,3,0,unknown
construction,married,no,no,email,20,aug,78,3,0,unknown
construction,married,no,no,email,2,jun,167,1,10,other
tech,married,yes,no,email,31,jul,18,44,0,unknown
tech,married,yes,no,email,22,jul,167,3,0,unknown
management,married,yes,no,email,13,may,469,1,0,unknown
construction,single,yes,no,email,25,jul,743,13,0,unknown
management,divorced,no,no,email,16,feb,138,2,0,unknown
management,single,no,no,email,23,oct,46,4,0,unknown
tech,married,yes,no,unknown,26,may,105,1,0,unknown
unknown,married,yes,yes,email,20,apr,670,4,2,success
services,single,no,no,email,6,feb,101,3,0,unknown
retired,married,no,no,email,30,oct,144,1,0,unknown
management,married,no,no,unknown,17,jun,159,3,0,unknown
services,single,no,no,email,5,jul,128,2,0,unknown
tech,married,yes,no,email,16,apr,648,1,1,other
unemployed,married,yes,no,email,22,jul,168,4,0,unknown
management,married,no,no,unknown,16,jun,172,6,0,unknown
entrepreneur,married,no,no,unknown,9,jun,85,4,0,unknown
retail,married,no,no,email,26,aug,634,2,0,unknown
management,married,yes,no,email,5,apr,470,7,3,other
management,divorced,no,yes,unknown,12,may,127,2,0,unknown
management,married,no,no,email,18,aug,998,6,0,unknown
management,divorced,yes,no,email,11,feb,27,1,3,failure
management,married,no,no,email,10,nov,147,1,8,success
management,single,no,no,email,8,aug,131,2,0,unknown
education,single,yes,no,phone,15,may,289,8,0,unknown
retired,married,no,no,email,6,aug,244,2,0,unknown
management,married,yes,no,email,25,jul,137,16,0,unknown
tech,married,yes,no,email,17,apr,342,3,1,other
student,single,yes,no,unknown,15,may,133,3,0,unknown
services,married,yes,no,unknown,12,jun,91,1,0,unknown
education,single,no,no,email,30,jul,84,3,0,unknown
tech,married,yes,no,email,18,may,9,1,0,unknown
tech,married,yes,no,email,5,may,725,3,0,unknown
tech,married,yes,yes,unknown,3,jun,1030,6,0,unknown
management,single,yes,yes,email,15,may,104,10,0,unknown
construction,single,yes,no,email,18,nov,266,1,2,failure
education,single,no,yes,unknown,4,jul,192,1,0,unknown
construction,married,no,yes,email,10,jul,2029,1,0,unknown
retired,married,no,no,unknown,8,may,425,6,0,unknown
management,married,yes,no,email,18,mar,910,2,4,success
construction,single,no,no,email,29,aug,96,4,0,unknown
self-employed,divorced,yes,no,email,20,apr,76,1,0,unknown
management,divorced,no,yes,email,14,aug,343,2,0,unknown
management,single,no,no,email,21,jul,120,3,0,unknown
retired,married,no,no,unknown,5,jun,812,1,0,unknown
management,divorced,yes,no,unknown,8,may,2087,2,0,unknown
tech,married,yes,yes,email,14,may,10,10,0,unknown
construction,married,yes,no,unknown,13,may,1721,2,0,unknown
construction,married,yes,no,unknown,14,may,224,2,0,unknown
construction,single,no,no,email,18,aug,594,4,0,unknown
student,single,no,no,email,20,oct,332,1,3,failure
management,married,no,no,email,25,aug,169,4,0,unknown
retired,married,yes,no,email,22,apr,371,2,0,unknown
retired,single,yes,no,unknown,27,may,1063,5,0,unknown
management,married,no,no,email,26,aug,104,9,0,unknown
services,single,yes,no,unknown,3,jun,1249,6,0,unknown
construction,divorced,no,no,email,10,feb,169,1,1,failure
management,married,no,no,unknown,20,jun,19,6,0,unknown
construction,married,yes,no,email,20,apr,187,3,3,other
management,divorced,no,no,email,17,sep,336,2,2,success
retail,married,yes,no,email,15,may,326,5,4,failure
tech,single,no,no,email,22,apr,279,2,0,unknown
tech,divorced,yes,no,unknown,3,jun,2456,2,0,unknown
management,married,yes,no,email,8,aug,73,6,0,unknown
education,single,no,no,email,10,mar,217,1,7,other
management,single,yes,no,email,17,apr,97,1,0,unknown
entrepreneur,married,no,no,email,21,jul,122,2,0,unknown
education,divorced,no,no,email,29,oct,264,1,0,unknown
management,married,no,no,email,27,aug,345,10,0,unknown
management,single,no,no,email,5,jun,275,1,0,unknown
education,married,yes,no,email,27,jan,181,1,1,success
entrepreneur,married,no,no,email,29,jan,113,1,0,unknown
entrepreneur,married,no,no,email,29,jul,646,2,0,unknown
education,single,no,no,email,5,feb,509,2,0,unknown
management,single,yes,no,email,2,feb,159,2,1,failure
student,single,yes,no,email,11,sep,146,3,1,other
construction,married,no,no,email,11,feb,109,3,0,unknown
tech,married,no,no,unknown,20,jun,41,7,0,unknown
construction,single,yes,no,email,30,jul,356,4,0,unknown
retired,married,no,yes,email,14,may,104,1,0,unknown
construction,married,no,no,email,25,aug,363,7,0,unknown
construction,married,no,no,email,27,oct,269,3,3,success
construction,married,no,no,email,1,jun,175,1,0,unknown
services,married,yes,no,email,7,apr,15,1,1,failure
management,divorced,yes,no,email,11,may,217,6,0,unknown
self-employed,married,no,no,email,19,feb,222,4,2,success
management,married,no,no,email,14,dec,321,3,4,success
services,married,yes,no,email,22,jul,1608,13,0,unknown
management,single,yes,no,email,22,mar,215,1,0,unknown
tech,married,no,no,unknown,12,jun,43,1,0,unknown
education,married,no,no,email,8,oct,401,2,0,unknown
services,married,no,no,email,4,jul,134,2,0,unknown
services,divorced,yes,no,email,22,jul,502,3,0,unknown
retired,married,no,no,phone,18,jan,326,2,2,success
management,single,yes,yes,email,20,apr,148,2,0,unknown
retail,married,no,yes,email,29,jul,376,2,0,unknown
construction,married,no,no,email,28,aug,14,3,0,unknown
tech,married,no,no,email,4,feb,56,1,0,unknown
construction,married,no,no,email,12,aug,92,4,0,unknown
management,married,yes,no,email,14,may,113,3,0,unknown
student,single,no,no,email,11,aug,269,2,0,unknown
construction,married,no,no,unknown,5,jun,189,2,0,unknown
retail,married,yes,no,unknown,4,jun,763,4,0,unknown
student,single,yes,no,email,22,may,198,1,6,success
tech,married,no,no,email,8,sep,261,1,1,success
tech,married,yes,no,unknown,26,jun,318,2,0,unknown
services,divorced,yes,no,email,9,jul,869,1,0,unknown
education,single,yes,no,email,13,may,1073,1,0,unknown
self-employed,married,yes,no,email,6,may,323,2,1,failure
tech,single,yes,no,email,18,may,125,1,4,failure
management,single,no,no,email,10,mar,93,1,0,unknown
tech,married,no,no,email,28,jul,388,3,1,success
retail,married,no,no,email,4,aug,142,2,0,unknown
construction,married,no,no,email,22,oct,344,2,8,other
education,married,no,no,email,19,aug,574,1,3,success
tech,married,yes,no,unknown,29,may,285,1,0,unknown
tech,divorced,yes,no,email,20,nov,25,1,0,unknown
management,single,yes,no,email,8,jul,97,3,0,unknown
tech,single,yes,no,unknown,21,may,412,1,0,unknown
construction,single,yes,yes,email,5,may,670,2,6,failure
services,single,yes,yes,email,18,may,113,1,0,unknown
retired,married,no,no,email,16,apr,124,1,0,unknown
education,married,no,no,email,20,aug,293,1,4,other
self-employed,married,yes,no,unknown,21,may,748,1,0,unknown
tech,married,yes,no,unknown,28,may,211,2,0,unknown
tech,married,yes,no,unknown,11,jun,601,1,0,unknown
construction,single,yes,no,email,7,may,146,2,3,failure
retired,married,no,no,phone,11,jan,585,1,2,success
education,single,yes,no,unknown,26,may,543,2,0,unknown
education,single,yes,no,email,2,aug,317,1,2,failure
services,divorced,no,no,email,12,mar,80,2,0,unknown
management,divorced,yes,yes,unknown,28,may,449,4,0,unknown
services,married,yes,yes,unknown,30,may,408,2,0,unknown
construction,married,yes,no,unknown,8,may,665,1,0,unknown
education,single,yes,no,email,20,apr,81,1,0,unknown
management,single,no,no,unknown,12,may,747,2,0,unknown
management,single,yes,no,email,18,oct,310,1,1,failure
retired,married,no,no,email,19,aug,65,5,0,unknown
services,single,yes,no,email,13,may,937,3,0,unknown
entrepreneur,divorced,no,yes,email,6,feb,748,3,0,unknown
retired,divorced,no,no,email,19,oct,343,3,0,unknown
entrepreneur,married,no,yes,email,18,nov,275,2,0,unknown
tech,married,yes,no,email,7,aug,526,2,0,unknown
unknown,married,no,no,email,7,oct,335,1,0,unknown
construction,divorced,yes,no,email,7,aug,487,2,0,unknown
tech,married,no,no,unknown,5,jun,153,1,0,unknown
services,married,yes,no,email,15,apr,397,2,1,failure
management,married,yes,yes,unknown,5,may,42,1,0,unknown
education,married,yes,no,email,5,feb,238,3,0,unknown
management,single,no,no,phone,10,dec,805,1,1,other
management,divorced,no,no,email,20,aug,175,3,0,unknown
construction,single,no,no,email,19,aug,264,1,0,unknown
construction,married,no,no,email,28,aug,68,6,0,unknown
construction,married,no,no,unknown,28,may,796,1,0,unknown
retired,married,no,no,email,16,oct,847,1,1,success
construction,single,no,no,phone,20,oct,718,1,0,unknown
construction,single,no,no,email,26,aug,323,1,0,unknown
tech,married,yes,no,email,14,may,10,9,1,failure
management,married,no,yes,email,7,jul,630,3,0,unknown
self-employed,married,yes,yes,unknown,5,may,246,1,0,unknown
services,married,no,yes,email,14,aug,757,4,0,unknown
management,married,yes,no,unknown,19,aug,480,1,0,unknown
services,single,yes,no,email,25,may,158,2,0,unknown
education,married,no,no,phone,16,mar,295,1,2,success
management,married,no,no,email,5,aug,157,3,2,success
construction,single,no,no,email,9,feb,501,2,0,unknown
tech,married,yes,yes,email,13,may,207,1,0,unknown
construction,married,yes,no,unknown,11,sep,91,1,2,other
education,single,yes,yes,email,30,apr,359,1,0,unknown
services,married,no,no,email,25,aug,206,4,0,unknown
management,married,yes,no,unknown,23,may,350,5,0,unknown
management,married,no,no,email,11,mar,188,3,0,unknown
construction,single,yes,no,unknown,29,may,361,1,0,unknown
management,married,no,no,email,30,apr,244,1,0,unknown
management,married,no,no,email,29,jul,339,3,0,unknown
management,divorced,yes,no,phone,22,aug,9,3,0,unknown
services,divorced,yes,no,email,14,may,959,3,7,other
self-employed,single,yes,yes,unknown,16,may,601,1,0,unknown
unemployed,married,no,no,unknown,12,jun,340,2,0,unknown
tech,divorced,yes,no,email,31,jul,630,6,0,unknown
unknown,single,no,no,email,11,sep,260,3,3,success
education,married,yes,yes,unknown,15,may,646,3,0,unknown
construction,single,yes,no,email,4,feb,261,1,6,success
entrepreneur,divorced,yes,yes,email,20,apr,74,5,0,unknown
management,married,yes,yes,unknown,7,may,1689,4,0,unknown
management,single,yes,no,phone,4,may,36,6,2,other
retail,divorced,no,no,unknown,5,jun,115,2,0,unknown
tech,married,yes,no,email,14,may,72,2,1,failure
retail,divorced,no,no,email,28,jun,345,1,3,other
education,married,no,no,email,22,apr,91,2,1,failure
management,married,yes,no,email,19,nov,1015,1,2,other
tech,single,yes,yes,email,17,apr,515,1,1,other
tech,married,yes,no,unknown,7,may,406,2,0,unknown
management,married,no,no,email,30,apr,587,1,0,unknown
construction,married,no,no,email,24,aug,467,2,4,other
management,married,yes,no,email,6,apr,610,2,1,failure
construction,married,yes,yes,email,8,aug,79,3,0,unknown
management,single,yes,no,unknown,27,may,21,5,0,unknown
services,married,no,no,email,21,aug,151,3,0,unknown
management,single,no,no,email,14,aug,203,5,1,failure
construction,married,yes,no,email,2,mar,311,2,0,unknown
student,single,no,no,email,8,nov,449,2,10,other
construction,married,no,no,email,20,oct,213,1,0,unknown
management,married,no,no,email,20,aug,921,2,0,unknown
entrepreneur,married,yes,no,phone,10,sep,230,3,0,unknown
tech,single,no,no,email,29,jan,182,2,0,unknown
construction,single,yes,no,email,19,aug,768,2,3,failure
services,married,no,no,email,31,jul,113,6,0,unknown
tech,married,no,no,unknown,20,jun,252,3,0,unknown
tech,married,yes,no,email,13,apr,217,3,1,failure
management,divorced,no,yes,email,11,aug,246,3,0,unknown
education,married,no,no,email,26,aug,388,6,0,unknown
management,single,no,no,email,5,feb,231,1,0,unknown
unknown,married,no,no,email,27,oct,759,2,0,unknown
services,single,yes,no,email,12,nov,707,2,2,success
management,married,yes,no,unknown,7,may,764,3,0,unknown
tech,single,no,no,email,22,apr,279,2,0,unknown
tech,married,yes,no,unknown,2,jun,40,1,0,unknown
retired,married,no,no,unknown,5,jun,419,1,0,unknown
entrepreneur,married,yes,no,email,18,jul,634,3,0,unknown
construction,single,yes,no,email,4,feb,75,1,1,failure
tech,single,yes,no,unknown,16,may,123,1,0,unknown
services,married,no,no,phone,9,feb,1971,4,0,unknown
entrepreneur,married,yes,no,email,18,nov,465,1,0,unknown
retired,single,no,no,email,30,jan,114,2,0,unknown
management,married,yes,no,email,14,may,567,3,4,failure
education,married,yes,no,unknown,5,jun,57,6,0,unknown
entrepreneur,married,yes,no,unknown,6,may,333,2,0,unknown
services,single,yes,no,unknown,7,may,388,7,0,unknown
construction,single,yes,no,email,13,apr,709,1,0,unknown
management,single,no,no,phone,10,dec,804,1,1,other
construction,married,yes,yes,email,21,nov,285,3,4,failure
management,married,no,no,email,30,jun,224,1,0,unknown
